"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-13","8.72",",,X",,,"0.19",",,X,2400","0.0",",,X","0.0",",,X",,,"60",",,X","54",",,X","  190",",,X","  190",",,X","15.0",",,X","21.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-14","7.61",",,X",,,"0.65",",,X,2400","0.0",",,X","0.0",",,X",,,"64",",,X","56",",,X","  160",",,X","  200",",,X","17.0",",,X","23.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-15","10.29",",,X",,,"0.31",",,X,2400","0.0",",,X","0.0",",,X",,,"63",",,X","52",",,X","  210",",,X","  210",",,X","25.1",",,X","32.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-16","12.30",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"61",",,X","47",",,X","  200",",,X","  200",",,X","29.1",",,X","38.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-17","3.58",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"58",",,X","43",",,X","  280",",,X","  290",",,X","8.9",",,X","12.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-18","4.47",",,X",,,"0.82",",,X,2400","0.0",",,X","0.0",",,X",,,"64",",,X","44",",,X","  240",",,X","  240",",,X","14.1",",,X","19.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-19","11.86",",,X",,,"0.19",",,X,2400","0.0",",,X","0.0",",,X",,,"59",",,X","49",",,X","  170",",,X","  170",",,X","21.9",",,X","29.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-20","12.75",",,X",,,"0.02",",,X,2400","0.0",",,W","0.0",",,X",,,"52",",,X","43",",,X","  290",",,X","  290",",,X","28.0",",,X","34.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-21","6.04",",,X",,,"0.25",",,X,2400","0.0",",,W","0.0",",,X",,,"53",",,X","40",",,X","  160",",,X","  160",",,X","23.0",",,X","25.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-22","5.82",",,X",,,"0.35",",,X,2400","0.0",",,W","0.0",",,X",,,"46",",,X","38",",,X","   20",",,X","   20",",,X","14.1",",,X","16.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-23","6.71",",,X",,,"0.00","T,,X,2400","0.0",",,W","0.0",",,X",,,"52",",,X","42",",,X","  210",",,X","  210",",,X","16.1",",,X","21.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-24","4.70",",,X",,,"0.28",",,X,2400","0.0",",,X","0.0",",,X",,,"53",",,X","43",",,X","  260",",,X","  260",",,X","12.1",",,X","15.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-25","3.36",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"53",",,X","44",",,X","  110",",,X","  110",",,X","10.1",",,X","13.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-26","5.59",",,X",,,"0.06",",,X,2400","0.0",",,X","0.0",",,X",,,"52",",,X","45",",,X","  210",",,X","  200",",,X","17.0",",,X","23.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-27","11.41",",,X",,,"0.91",",,X,2400","0.0",",,X","0.0",",,X",,,"58",",,X","49",",,X","  190",",,X","  210",",,X","19.9",",,X","25.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-28","8.50",",,X",,,"0.24",",,X,2400","0.0",",,X","0.0",",,X",,,"58",",,X","50",",,X","  210",",,X","  210",",,X","23.0",",,X","31.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-29","10.96",",,X",,,"0.43",",,X,2400","0.0",",,X","0.0",",,X",,,"60",",,X","50",",,X","  200",",,X","  210",",,X","25.9",",,X","38.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-30","6.26",",,X",,,"1.36",",,X,2400","0.0",",,X","0.0",",,X",,,"59",",,X","54",",,X","  160",",,X","  140",",,X","14.1",",,X","17.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-31","6.04",",,X",,,"0.57",",,X,2400","0.0",",,X","0.0",",,X",,,"60",",,X","52",",,X","  170",",,X","  170",",,X","14.1",",,X","17.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-01","6.71",",,X",,,"0.38",",,X,2400","0.0",",,X","0.0",",,X",,,"59",",,X","51",",,X","  160",",,X","  150",",,X","17.9",",,X","23.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-02","2.24",",,X",,,"0.22",",,X,2400","0.0",",,X","0.0",",,X",,,"59",",,X","51",",,X","  120",",,X","  250",",,X","8.1",",,X","8.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-03","8.05",",,X",,,"0.02",",,X,2400","0.0",",,X","0.0",",,X",,,"60",",,X","52",",,X","  200",",,X","  190",",,X","17.0",",,X","21.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-04","8.50",",,X",,,"0.32",",,X,2400","0.0",",,X","0.0",",,X",,,"64",",,X","55",",,X","  200",",,X","  210",",,X","17.0",",,X","21.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-05","8.95",",,X",,,"0.03",",,X,2400","0.0",",,X","0.0",",,X",,,"59",",,X","46",",,X","   40",",,X","   40",",,X","17.9",",,X","23.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-06","7.83",",,X",,,"0.01",",,X,2400","0.0",",,W","0.0",",,X",,,"55",",,X","44",",,X","  190",",,X","  230",",,X","21.9",",,X","29.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-07","7.61",",,X",,,"0.00","T,,X,2400","0.0",",,X","0.0",",,X",,,"54",",,X","39",",,X","  200",",,X","  200",",,X","17.9",",,X","23.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-08","7.61",",,X",,,"0.00","T,,X,2400","0.0",",,X","0.0",",,X",,,"50",",,X","34",",,X","  360",",,X","   20",",,X","19.9",",,X","23.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-09","4.47",",,X",,,"0.00","T,,X,2400","0.0",",,W","0.0",",,X",,,"48",",,X","34",",,X","   10",",,X","   10",",,X","14.1",",,X","16.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-10","4.92",",,X",,,"0.00",",,Z,2400","0.0",",,W","0.0",",,X",,,"46",",,X","31",",,X","  360",",,X","   10",",,X","12.1",",,X","15.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-11","6.71",",,X",,,"0.60",",,X,2400","0.0",",,X","0.0",",,X",,,"48",",,X","34",",,X","  110",",,X","  130",",,X","14.1",",,X","17.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-12","6.71",",,X",,,"0.14",",,X,2400","0.0",",,X","0.0",",,X",,,"55",",,X","43",",,X","  230",",,X","  230",",,X","14.1",",,X","17.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-13","5.59",",,X",,,"0.21",",,X,2400","0.0",",,X","0.0",",,X",,,"52",",,X","46",",,X","  160",",,X","  160",",,X","13.0",",,X","15.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-14","5.82",",,X",,,"0.03",",,X,2400","0.0",",,X","0.0",",,X",,,"52",",,X","41",",,X","  220",",,X","  220",",,X","13.0",",,X","16.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-15","5.37",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"49",",,X","37",",,X","   10",",,X","   10",",,X","13.0",",,X","15.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-16","3.58",",,X",,,"0.22",",,X,2400","0.0",",,X","0.0",",,X",,,"49",",,X","36",",,X","  110",",,X","  120",",,X","14.1",",,X","17.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-17","11.86",",,X",,,"0.24",",,X,2400","0.0",",,X","0.0",",,X",,,"54",",,X","43",",,X","  190",",,X","  190",",,X","23.9",",,X","30.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-18","10.96",",,X",,,"0.31",",,X,2400","0.0",",,X","0.0",",,X",,,"50",",,X","43",",,X","  170",",,X","  160",",,X","25.1",",,X","34.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-19","13.42",",,X",,,"2.13",",,X,2400","0.0",",,X","0.0",",,X",,,"56",",,X","47",",,X","  160",",,X","  150",",,X","28.0",",,X","38.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-20","9.40",",,X",,,"0.15",",,X,2400","0.0",",,X","0.0",",,X",,,"52",",,X","45",",,X","  230",",,X","  230",",,X","31.1",",,X","38.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-21","12.30",",,X",,,"0.44",",,X,2400","0.0",",,X","0.0",",,X",,,"47",",,X","39",",,X","  190",",,X","  200",",,X","33.1",",,X","46.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-22","3.36",",,X",,,"0.00","T,,X,2400","0.0",",,W","0.0",",,X",,,"48",",,X","37",",,X","  120",",,X","  120",",,X","10.1",",,X","13.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-23","5.37",",,X",,,"1.26",",,X,2400","0.0",",,X","0.0",",,X",,,"49",",,X","43",",,X","  210",",,X","  220",",,X","15.0",",,X","21.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-24","2.68",",,X",,,"0.00","T,,X,2400","0.0",",,X","0.0",",,X",,,"48",",,X","39",",,X","  230",",,X","  240",",,X","12.1",",,X","14.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-25","8.05",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"47",",,X","34",",,X","   10",",,X","   10",",,X","17.0",",,X","19.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-26","8.50",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"49",",,X","35",",,X","   20",",,X","   30",",,X","16.1",",,X","19.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-27","3.36",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"50",",,X","35",",,X","  130",",,X","  130",",,X","12.1",",,X","13.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-28","6.49",",,X",,,"0.11",",,X,2400","0.0",",,X","0.0",",,X",,,"49",",,X","36",",,X","  110",",,X","  100",",,X","15.0",",,X","17.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-29","9.40",",,X",,,"0.06",",,X,2400","0.0",",,X","0.0",",,X",,,"55",",,X","46",",,X","  120",",,X","  190",",,X","17.0",",,X","21.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-11-30","10.29",",,X",,,"1.40",",,X,2400","0.0",",,X","0.0",",,X",,,"59",",,X","46",",,X","  180",",,X","  190",",,X","23.0",",,X","30.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-01","12.30",",,X",,,"0.16",",,X,2400","0.0",",,X","0.0",",,X",,,"56",",,X","47",",,X","  200",",,X","  200",",,X","25.1",",,X","38.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-02","13.87",",,X",,,"0.77",",,X,2400","0.0",",,X","0.0",",,X",,,"47",",,X","45",",,X","  170",",,X","  190",",,X","25.9",",,X","36.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-03","9.84",",,X",,,"0.51",",,X,2400","0.0",",,X","0.0",",,X",,,"49",",,X","45",",,X","  220",",,X","  180",",,X","21.0",",,X","33.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-04","13.87",",,X",,,"0.56",",,X,2400","0.0",",,X","0.0",",,X",,,"53",",,X","45",",,X","  210",",,X","  210",",,X","25.1",",,X","33.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-05","11.18",",,X",,,"0.06",",,X,2400","0.0",",,X","0.0",",,X",,,"48",",,X","40",",,X","  210",",,X","  200",",,X","21.9",",,X","29.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-06","11.41",",,X",,,"0.06",",,X,2400","0.0",",,X","0.0",",,X",,,"45",",,X","43",",,X","  190",",,X","  190",",,X","21.0",",,X","25.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-07","10.29",",,X",,,"0.04",",,X,2400","0.0",",,X","0.0",",,X",,,"46",",,X","38",",,X","  200",",,X","  210",",,X","23.0",",,X","31.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-08","4.47",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"44",",,X","38",",,X","  220",",,X","  240",",,X","12.1",",,X","14.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-09","4.70",",,X",,,"0.06",",,X,2400","0.0",",,X","0.0",",,X",,,"44",",,X","37",",,X","   30",",,X","  140",",,X","8.9",",,X","13.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-10","4.03",",,X",,,"0.02",",,X,2400","0.0",",,X","0.0",",,X",,,"45",",,X","42",",,X","  200",",,X","  220",",,X","13.0",",,X","17.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-11","10.07",",,X",,,"0.12",",,X,2400","0.0",",,X","0.0",",,X",,,"46",",,X","42",",,X","  170",",,X","  210",",,X","19.9",",,X","25.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-12","4.47",",,X",,,"0.32",",,X,2400","0.0",",,X","0.0",",,X",,,"44",",,X","40",",,X","  200",",,X","  190",",,X","13.0",",,X","17.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-13","6.26",",,X",,,"0.09",",,X,2400","0.0",",,X","0.0",",,X",,,"45",",,X","38",",,X","  150",",,X","  150",",,X","13.0",",,X","14.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-14","3.80",",,X",,,"0.31",",,X,2400","0.0",",,X","0.0",",,X",,,"43",",,X","34",",,X","  140",",,X","  140",",,X","12.1",",,X","14.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-15","11.41",",,X",,,"0.21",",,X,2400","0.0","T,,Z","0.0",",,X",,,"40",",,X","33",",,X","  160",",,X","  190",",,X","21.9",",,X","29.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-16","12.30",",,X",,,"0.89",",,X,2400","0.0","T,,Z","0.0",",,X",,,"44",",,X","38",",,X","  160",",,X","  160",",,X","23.0",",,X","30.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-17","21.25",",,X",,,"0.08",",,X,2400","0.0",",,X","0.0",",,X",,,"47",",,X","35",",,X","  220",",,X","  220",",,X","38.0",",,X","59.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-18","11.86",",,X",,,"0.13",",,X,2400","0.6",",,X","1.0",",,X",,,"39",",,X","33",",,X","  200",",,X","  190",",,X","19.9",",,X","25.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-19","12.97",",,X",,,"0.54",",,X,2400","0.0","T,,X","0.0",",,X",,,"47",",,X","35",",,X","  180",",,X","  170",",,X","28.0",",,X","38.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-20","8.28",",,X",,,"0.52",",,X,2400","0.0",",,X","0.0",",,X",,,"45",",,X","33",",,X","  190",",,X","  180",",,X","21.9",",,X","29.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-21","3.80",",,X",,,"0.07",",,X,2400","0.0",",,X","0.0",",,X",,,"47",",,X","29",",,X","  120",",,X","  120",",,X","14.1",",,X","17.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-22","7.83",",,X",,,"0.13",",,X,2400","0.0",",,X","0.0",",,X",,,"47",",,X","39",",,X","  200",",,X","  180",",,X","25.1",",,X","34.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-23","5.59",",,X",,,"0.26",",,X,2400","0.0",",,X","0.0",",,X",,,"45",",,X","38",",,X","   80",",,X","   70",",,X","13.0",",,X","16.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-24","6.26",",,X",,,"0.01",",,X,2400","0.0",",,X","0.0",",,X",,,"42",",,X","37",",,X","  200",",,X","  200",",,X","14.1",",,X","17.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-25","9.40",",,X",,,"0.53",",,X,2400","0.0","T,,Z","0.0",",,X",,,"42",",,X","37",",,X","  120",",,X","  120",",,X","19.9",",,X","25.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-26","10.96",",,X",,,"0.18",",,X,2400","0.0",",,X","0.0",",,X",,,"44",",,X","38",",,X","  180",",,X","  180",",,X","21.0",",,X","29.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-27","7.16",",,X",,,"0.16",",,X,2400","0.0",",,X","0.0",",,X",,,"46",",,X","38",",,X","  210",",,X","  200",",,X","17.0",",,X","21.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-28","3.80",",,X",,,"0.00","T,,X,2400","0.0",",,X","0.0",",,X",,,"47",",,X","39",",,X","  110",",,X","  120",",,X","8.9",",,X","12.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-29","3.80",",,X",,,"0.06",",,X,2400","0.0",",,X","0.0",",,X",,,"41",",,X","38",",,X","  110",",,X","  130",",,X","8.9",",,X","13.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-30","4.03",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"40",",,X","32",",,X","   80",",,X","   80",",,X","8.9",",,X","12.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-12-31","4.47",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"38",",,X","30",",,X","   20",",,X","   30",",,X","15.0",",,X","17.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2013-01-01","6.04",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"41",",,X","27",",,X","   10",",,X","   10",",,X","14.1",",,X","17.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2013-01-02","7.16",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"43",",,X","30",",,X","  120",",,X","  120",",,X","17.0",",,X","21.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2013-01-03","6.71",",,X",,,"0.16",",,X,2400","0.0",",,X","0.0",",,X",,,"44",",,X","29",",,X","  120",",,X","  120",",,X","16.1",",,X","19.9",",,X"
